feature,mean_abs_shap
SeniorCitizen,0.07493417923219192
PaymentMethod,0.0551058804006238
Partner,0.04779351916481198
gender,0.040548679519126496
StreamingMovies,0.0342813789985065
TotalCharges,0.027919105249523044
OnlineBackup,0.021109606635322162
DeviceProtection,0.01960974455968632
MultipleLines,0.0049725512978737235
tenure,0.004566064043839775
PhoneService,0.002855217107889861
PaperlessBilling,0.0022928482582249363
Dependents,0.002067174921611634
MonthlyCharges,0.0018640587632505526
StreamingTV,0.0011931572558746386
TechSupport,0.0007456947886462624
OnlineSecurity,0.0006056964114463583
Contract,0.0005288759348060306
InternetService,1.4258081403739863e-07
